lis,name,building,level,google_id,image_url,permission,hasTable,hasWifi,capacity,hasMicrowave,hasSocket,hasFood,noEating,hasCoffee,hasComputer
21,Sofa area,Graham Kerr Building,2,ChIJ9UILxdFFiEgRcczDSTMY9Lc,https://disabledgoimageslive.blob.core.windows.net/access-guides/bdc81d97-344b-d244-89b7-232c207176e7/dd0b8ff2-431d-af4b-8e71-5874d562c941.jpg,None,FALSE,TRUE,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
22,Reception,Davidson Building,1,ChIJVexUldFFiEgRb37cMcDU_Zk,https://disabledgoimageslive.blob.core.windows.net/access-guides/3dad0079-2551-1d4e-aeea-3c240533c66c/f7c2b685-cabb-4a45-826d-b5adc6ede4f0.jpg,None,TRUE,TRUE,12,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
23,Student Computer Cluster,Davidson Building,2,ChIJVexUldFFiEgRb37cMcDU_Zk,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQeWkAxQapz4lve9BKs8qC-GsIHZIgZ68EdRSMBfrrjmpqv1-6F&s,None,TRUE,TRUE,16,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
24,Chemistry Branch Library,Joseph Black Building,5,ChIJFZh619FFiEgRL9HM5HzHDUY,https://disabledgoimageslive.blob.core.windows.net/access-guides/bdc81d97-344b-d244-89b7-232c207176e7/dd0b8ff2-431d-af4b-8e71-5874d562c941.jpg,None,TRUE,TRUE,100,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
25,Student Computer Cluster,Joseph Black Building,5,ChIJFZh619FFiEgRL9HM5HzHDUY,https://www.gla.ac.uk/media/Media_535071_smxx.jpg,None,TRUE,TRUE,78,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
26,Common Room,Rankine Building,2,ChIJc3W5Ys1FiEgRt8DTFuQz4ek,https://disabledgoimageslive.blob.core.windows.net/access-guides/536f91ed-21ec-6646-a7bc-3585c724658a/f264c79d-8b18-d146-982b-7eb06bc5a26a.jpg,Staff & Postgraduate student only,TRUE,TRUE,50,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
27,Social and Study Space,Mathematics and Statistics Building,1,ChIJOdhm0M9FiEgR0PCSj-1ruOo,https://www.gla.ac.uk/media/Media_531462_smxx.jpg,None,TRUE,TRUE,60,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
28,Open Study Space,Mathematics and Statistics Building,1,ChIJOdhm0M9FiEgR0PCSj-1ruOo,https://www.gla.ac.uk/media/Media_531470_smxx.jpg,None,TRUE,TRUE,90,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
29,Postgraduate Space ,Mathematics and Statistics Building,2,ChIJOdhm0M9FiEgR0PCSj-1ruOo,https://www.gla.ac.uk/media/Media_531476_smxx.jpg,Postgradue Student Only,TRUE,TRUE,50,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
30,The Hunterian Collections Study Centre,Kelvin Hall,3,ChIJhRwc-tBFiEgRbLs3EJOuEig,https://www.gla.ac.uk/media/Media_532089_smxx.jpg,None,TRUE,TRUE,32,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
